Age,Workclass,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-per-week,Native-Country,Income
56,1,1,9,1,4,1,0,0,0,1887,50,9,1
28,2,5,10,1,5,2,0,1,4064,0,25,0,0
36,2,1,9,0,9,3,0,1,0,0,40,0,0
53,2,4,5,1,2,1,0,0,0,0,50,0,0
56,5,5,10,1,5,1,0,0,0,0,50,0,0
49,4,7,11,1,6,1,1,0,0,0,40,0,1
55,2,5,10,1,5,1,0,0,0,0,56,0,0
22,2,1,9,0,6,0,0,0,0,0,41,0,0
21,2,5,10,0,4,3,0,1,0,0,40,0,0
40,2,0,13,1,1,1,0,0,0,0,60,0,0
30,2,0,13,0,1,3,1,0,0,0,40,10,0
29,0,0,13,1,3,1,0,0,0,0,50,0,1
19,2,5,10,0,4,3,1,0,0,0,35,0,0
47,2,0,13,1,1,2,0,1,0,0,40,0,1
20,2,5,10,0,0,3,0,1,0,1719,28,0,0
31,2,6,12,1,0,1,0,0,0,0,40,0,1
35,2,1,9,1,3,1,0,0,0,0,40,0,0
39,2,5,10,2,6,0,0,0,0,0,40,0,0
28,2,6,12,0,5,0,0,1,0,0,60,0,0
24,2,1,9,0,4,0,0,1,0,1762,40,0,0
38,1,1,9,1,6,1,0,0,4386,0,35,0,0
37,2,0,13,1,5,1,0,0,0,0,50,0,0
46,2,6,12,2,10,0,1,1,0,0,36,0,0
38,3,3,14,1,3,1,0,0,0,0,40,11,1
43,1,1,9,1,6,1,0,0,0,0,60,0,0
27,2,7,11,1,0,2,0,1,0,0,35,0,0
20,2,5,10,0,5,3,0,0,0,0,20,0,0
49,2,5,10,1,6,1,2,0,0,0,40,0,1
61,5,1,9,1,6,1,0,0,0,0,40,0,0
27,2,5,10,0,5,3,0,1,0,0,40,0,0
19,2,5,10,0,4,3,0,0,0,0,30,4,0
45,2,7,11,0,3,0,0,1,0,1564,40,0,1
70,2,5,10,0,10,5,0,0,0,0,40,0,0
31,2,1,9,0,7,4,1,1,0,0,30,0,0
22,2,5,10,1,4,1,0,0,0,0,24,0,0
36,2,1,9,6,4,4,0,1,0,0,24,0,0
64,2,2,7,1,6,1,0,0,0,2179,40,0,0
43,2,5,10,2,3,0,0,1,0,0,40,0,0
47,4,5,10,2,0,4,0,1,0,0,38,4,0
34,2,1,9,0,0,0,0,1,0,0,40,0,0
33,2,0,13,0,1,5,2,1,0,0,40,12,0
21,2,1,9,0,6,3,0,0,0,0,35,0,0
52,2,1,9,2,3,0,0,0,0,0,45,0,1
48,2,1,9,1,6,1,0,0,0,0,46,0,0
23,2,0,13,0,2,0,0,0,0,0,40,0,0
71,1,5,10,4,5,4,1,0,0,1816,2,0,0
29,2,1,9,2,6,0,0,0,0,0,60,0,0
42,2,0,13,4,4,5,1,0,0,0,50,0,0
68,2,13,2,2,3,0,0,1,0,0,20,0,0
25,2,1,9,0,4,4,0,1,0,0,40,0,0
44,5,3,14,2,1,4,2,1,0,0,40,0,0
28,2,1,9,0,1,0,2,1,0,0,40,8,0
45,1,3,14,1,5,1,0,0,0,0,40,0,1
36,2,5,10,2,4,4,0,1,0,0,40,4,0
39,3,6,12,0,1,0,0,0,0,0,42,0,0
46,0,3,14,6,11,4,0,0,0,0,40,0,0
18,2,2,7,0,2,3,0,0,0,0,16,0,0
66,4,7,11,6,3,0,0,1,0,0,20,0,0
27,2,1,9,0,4,0,0,0,0,1980,40,0,0
28,0,1,9,1,11,1,0,0,0,0,40,0,0
51,2,5,10,1,5,1,0,0,0,1977,40,0,1
27,2,0,13,0,6,0,0,0,0,0,50,0,0
28,0,0,13,1,3,1,0,0,0,0,40,0,1
27,2,1,9,3,5,4,0,1,0,0,25,0,0
21,2,1,9,0,6,3,1,0,0,0,40,0,0
34,2,1,9,0,2,0,1,0,0,0,40,0,0
18,2,1,9,0,4,3,0,0,0,0,12,0,0
33,2,0,13,1,3,1,0,0,0,0,65,0,0
44,4,5,10,1,1,1,1,0,0,0,38,0,1
43,2,5,10,2,0,0,0,1,0,0,40,0,0
30,2,5,10,0,6,0,1,0,0,0,45,0,0
40,2,8,4,1,9,1,0,0,0,0,40,4,1
37,3,5,10,1,0,1,0,0,0,0,42,0,1
34,2,1,9,1,0,1,1,0,0,0,40,0,0
41,1,0,13,2,1,0,0,1,0,0,40,0,0
53,2,0,13,2,3,0,0,1,0,0,50,0,0
31,2,3,14,1,3,2,0,1,0,0,50,0,0
58,0,9,16,1,3,1,0,0,0,0,1,0,1
38,2,5,10,2,9,0,1,1,0,0,28,0,0
24,2,5,10,1,9,1,0,0,0,0,40,0,0
41,4,0,13,1,6,1,1,0,0,0,40,0,0
47,2,5,10,1,10,1,0,0,0,0,45,0,0
41,3,0,13,1,10,1,0,0,0,0,24,0,0
23,2,11,3,1,7,5,0,0,0,0,40,4,0
36,2,5,10,2,6,0,0,0,0,0,40,0,0
40,3,3,14,0,1,0,0,1,14084,0,55,0,1
35,2,3,14,1,3,5,0,0,7298,0,40,0,1
24,1,1,9,0,5,0,0,0,0,0,40,0,0
26,2,3,14,0,3,0,0,1,0,1876,40,0,0
19,2,1,9,0,3,3,0,0,0,0,40,13,0
51,2,0,13,1,1,1,0,0,0,0,50,0,1
42,4,5,10,0,3,0,0,1,0,1340,40,0,0
37,0,1,9,2,0,4,0,1,0,0,35,0,0
18,2,2,7,0,5,3,0,1,0,0,40,0,0
36,2,0,13,1,4,1,1,0,7298,0,36,0,1
35,2,1,9,2,6,0,0,0,0,0,60,0,0
58,5,1,9,1,5,2,0,1,15024,0,35,0,1
17,2,2,7,0,5,3,0,1,0,0,12,0,0
44,4,1,9,1,7,1,1,0,0,0,40,0,0
37,2,1,9,1,6,1,0,0,0,0,40,0,1
35,2,5,10,0,5,0,3,1,0,0,40,0,0
60,2,1,9,1,6,1,2,0,0,0,40,0,0
54,5,8,4,1,9,1,0,0,0,0,40,0,1
37,2,0,13,0,1,0,1,0,0,0,60,0,1
50,2,6,12,2,5,0,0,1,0,0,40,0,0
38,2,0,13,1,5,1,0,0,0,0,50,14,0
45,2,0,13,1,3,1,0,0,0,0,55,0,0
25,2,12,6,0,6,0,0,0,0,0,40,0,0
31,2,5,10,1,2,1,0,0,0,0,40,0,0
64,2,13,2,2,3,0,0,0,0,0,40,0,0
90,2,1,9,0,4,0,1,0,0,2206,40,0,0
54,2,1,9,1,0,1,1,0,0,0,20,0,0
53,4,14,1,0,9,0,0,1,0,0,35,0,0
18,2,1,9,0,5,3,0,1,0,0,40,0,0
60,2,12,6,2,3,0,3,1,0,0,10,0,0
66,1,1,9,1,8,1,0,0,1409,0,50,0,0
75,2,7,11,6,0,0,0,1,0,0,20,15,0
65,2,1,9,2,0,0,0,1,0,0,40,0,0
35,2,2,7,4,7,0,1,0,3674,0,40,0,0
41,2,1,9,2,5,4,1,1,0,0,38,0,0
25,2,5,10,0,0,0,0,0,0,0,42,0,0
33,2,5,10,2,6,5,4,1,0,0,40,0,0
28,2,10,15,0,3,0,0,0,0,0,55,0,1
59,0,1,9,1,4,1,0,0,0,0,40,0,0
40,0,5,10,0,0,0,0,1,0,0,38,0,0
41,2,0,13,1,1,1,0,0,0,0,50,11,1
38,4,3,14,1,1,1,0,0,0,0,70,0,1
23,2,1,9,0,7,3,0,0,0,0,40,0,0
40,2,0,13,1,3,1,0,0,0,0,40,0,1
41,1,1,9,1,4,2,0,1,0,0,20,0,0
24,0,6,12,1,11,1,0,0,0,0,50,0,0
20,2,5,10,0,3,3,0,0,0,0,20,0,0
38,2,5,10,2,6,0,0,0,0,1741,40,0,0
56,2,1,9,1,0,1,0,0,0,0,35,0,0
58,2,1,9,1,0,1,0,0,0,0,45,0,1
32,2,1,9,0,4,0,0,1,0,0,34,0,0
40,2,6,12,1,10,1,0,0,0,1977,60,0,1
45,2,1,9,1,0,1,0,0,0,0,40,0,0
41,2,10,15,1,3,2,0,1,0,0,40,0,1
42,2,0,13,1,0,2,1,1,0,0,40,0,0
59,4,12,6,6,4,4,1,1,0,0,30,0,0
19,4,5,10,0,0,3,0,0,0,0,40,0,0
58,2,5,10,0,7,0,0,0,0,0,20,0,0
42,1,1,9,1,8,1,2,0,0,0,40,16,1
20,2,1,9,0,4,3,0,1,0,0,40,0,0
32,2,1,9,4,4,0,0,1,0,0,30,0,0
45,2,7,11,6,1,0,0,1,0,0,45,0,0
50,2,8,4,2,6,0,0,0,0,0,40,0,0
36,2,0,13,2,3,3,0,1,0,0,40,0,0
45,2,1,9,1,5,1,0,0,0,0,60,0,0
17,2,2,7,0,4,3,0,0,0,0,12,0,0
59,2,5,10,1,5,1,0,0,4064,0,40,0,0
26,2,2,7,1,6,1,0,0,0,0,40,0,0
37,5,5,10,1,1,1,2,0,0,0,75,17,1
19,2,5,10,0,3,3,0,0,0,0,24,9,0
64,2,1,9,1,1,1,0,0,0,0,40,0,1
33,2,0,13,0,3,0,0,1,0,0,45,0,0
33,2,1,9,1,6,2,0,1,0,0,40,0,1
61,2,1,9,1,1,1,0,0,0,0,40,0,1
17,2,4,5,0,4,3,0,0,1055,0,24,0,0
50,1,3,14,1,8,1,0,0,2407,0,98,0,0
27,4,3,14,0,3,3,0,0,0,0,35,0,0
30,2,1,9,2,3,3,0,1,0,0,40,0,0
43,2,1,9,1,2,1,1,0,0,0,40,0,0
44,2,5,10,1,6,1,0,0,7298,0,40,0,1
35,2,5,10,0,1,0,0,1,0,0,40,0,0
25,2,5,10,0,10,3,0,1,0,0,40,0,0
24,2,5,10,1,9,2,0,1,7298,0,48,0,1
22,2,0,13,0,3,0,0,1,0,0,15,10,0
42,4,5,10,1,6,1,0,0,5178,0,40,0,1
34,2,6,12,2,5,4,1,1,0,0,45,0,0
60,2,0,13,2,3,0,0,1,0,0,42,0,0
21,2,1,9,0,2,3,0,0,0,0,40,0,0
57,3,3,14,1,5,1,0,0,15024,0,40,0,1
41,2,10,15,1,3,1,0,0,0,0,60,0,1
50,2,5,10,2,4,0,0,0,0,0,45,0,0
25,2,0,13,0,1,0,0,1,0,0,40,0,0
50,2,8,4,1,6,1,0,0,0,0,40,18,0
36,2,0,13,1,3,1,0,0,0,0,45,0,0
31,2,1,9,2,3,0,0,1,0,0,40,0,0
29,4,0,13,0,11,0,0,0,0,0,56,0,0
21,2,5,10,0,5,3,0,0,0,0,45,0,0
27,2,0,13,0,10,4,1,1,0,0,40,0,0
65,2,1,9,1,7,1,0,0,0,0,16,0,0
37,5,0,13,2,5,0,0,1,0,0,60,0,0
39,2,3,14,1,3,2,2,1,3464,0,40,0,0
24,2,1,9,0,6,3,0,0,0,0,40,0,0
38,2,1,9,2,5,0,0,0,0,0,80,0,0
48,2,0,13,1,0,1,0,0,7688,0,40,0,1
21,2,5,10,0,4,0,2,1,0,0,25,0,0
31,2,1,9,1,7,1,0,0,0,0,45,0,1
55,2,1,9,1,5,1,0,0,4386,0,40,0,1
24,2,5,10,1,0,2,2,1,0,0,40,19,0
43,2,1,9,2,0,0,0,1,0,0,40,0,0
26,2,6,12,0,10,0,0,0,0,0,45,0,0
46,2,6,12,0,3,0,0,1,0,0,33,0,0
35,2,6,12,1,0,1,0,0,0,0,40,0,1
41,5,5,10,1,8,1,0,0,0,0,54,0,1
26,2,0,13,0,5,0,0,0,0,0,40,0,0
34,2,3,14,1,1,1,2,0,7298,0,35,20,1
19,2,5,10,0,3,3,1,1,0,0,25,0,0
36,1,0,13,2,3,0,1,1,0,0,40,0,1
22,2,5,10,0,5,3,0,0,0,0,15,0,0
24,2,5,10,0,9,0,0,0,0,0,40,0,0
77,1,5,10,1,5,1,0,0,0,0,40,0,0
22,2,11,3,1,9,5,0,1,0,0,40,4,0
29,2,5,10,0,10,0,0,1,0,0,40,0,0
62,2,1,9,6,4,0,0,1,0,0,24,0,0
39,1,1,9,1,1,1,0,0,0,0,40,0,0
43,2,5,10,1,6,1,0,0,0,1485,50,0,0
35,2,1,9,2,7,0,0,0,0,0,45,0,0
29,2,2,7,0,1,0,0,1,0,0,40,0,0
76,1,3,14,1,6,1,0,0,0,0,10,0,0
63,1,1,9,1,8,1,0,0,0,0,45,0,0
23,2,7,11,0,3,3,1,1,0,0,15,0,0
43,2,5,10,1,3,2,0,1,0,1887,50,0,1
58,1,1,9,1,2,1,0,0,0,0,40,0,0
66,2,1,9,0,7,0,0,0,2050,0,55,0,0
41,2,5,10,0,6,0,1,0,0,0,45,0,0
26,2,0,13,0,0,0,0,0,0,0,40,0,0
47,2,7,11,0,4,0,0,0,0,0,40,0,0
55,4,12,6,1,0,1,0,0,0,0,40,0,0
53,2,1,9,1,7,1,0,0,0,0,40,0,0
17,2,11,3,0,4,5,0,0,0,0,48,4,0
30,2,1,9,0,6,5,0,0,0,0,40,0,0
49,2,3,14,0,3,0,0,0,0,0,60,0,0
19,2,1,9,0,5,4,1,0,0,0,30,21,0
45,2,1,9,1,4,1,1,0,0,0,40,0,0
26,2,6,12,0,5,0,0,0,0,0,40,0,0
38,2,7,11,1,6,1,0,0,7298,0,40,0,1
36,0,1,9,1,11,1,0,0,7298,0,40,0,1
33,2,1,9,0,8,0,0,0,0,0,20,0,0
22,0,5,10,0,11,3,1,1,0,0,40,0,0
43,1,0,13,0,5,0,0,0,0,0,42,0,0
67,2,2,7,1,3,1,0,0,0,0,8,0,0
30,2,7,11,2,3,4,0,1,0,0,40,0,0
56,2,6,12,3,4,0,0,0,0,0,25,11,0
31,2,0,13,0,3,3,0,0,0,0,25,0,0
33,2,0,13,1,1,1,0,0,0,0,40,0,1
26,2,1,9,1,4,1,0,0,0,0,40,0,0
33,2,0,13,1,1,1,0,0,0,0,40,0,1
46,4,2,7,1,7,1,0,0,0,0,30,0,0
59,2,0,13,1,3,1,0,0,0,0,40,0,1
38,3,1,9,1,0,1,0,0,0,0,40,0,1
65,2,2,7,6,4,4,4,0,0,0,40,0,0
40,2,7,11,1,10,1,0,0,0,0,40,0,1
42,2,1,9,1,0,2,0,1,0,0,35,0,0
26,1,4,5,1,6,1,0,0,0,0,40,22,0
36,2,12,6,1,4,2,0,1,0,0,24,0,0
62,2,3,14,1,3,1,0,0,0,0,40,0,1
43,2,0,13,1,7,1,0,0,0,0,45,0,0
43,2,0,13,2,1,0,0,0,0,1564,45,0,1
22,2,1,9,3,5,0,0,0,0,0,55,0,0
28,2,1,9,1,6,1,0,0,0,0,40,0,0
56,1,5,10,1,5,1,0,0,0,0,45,0,0
22,2,6,12,0,5,0,0,1,0,0,15,0,0
57,2,0,13,2,1,0,0,1,0,0,45,0,1
39,2,1,9,2,5,4,0,1,0,0,40,0,0
26,3,5,10,0,0,4,0,1,0,0,15,0,0
17,2,2,7,0,4,3,0,0,0,0,10,0,0
40,0,7,11,1,9,1,0,0,0,0,38,0,1
45,2,1,9,1,9,1,1,0,0,0,40,0,0
44,2,1,9,0,6,0,1,0,0,0,40,0,0
20,4,5,10,0,0,3,0,1,0,0,10,0,0
33,2,1,9,1,6,2,0,1,0,0,40,0,0
23,2,5,10,0,5,0,0,0,0,0,40,0,0
46,1,3,14,2,1,0,0,0,0,0,30,0,0
38,2,1,9,1,5,1,0,0,0,0,50,0,0
54,2,1,9,2,7,0,0,0,0,0,40,0,0
46,2,11,3,2,6,0,0,1,0,2339,45,0,0
25,2,5,10,1,6,1,0,0,0,0,40,0,0
46,2,5,10,2,5,0,0,1,0,0,40,0,0
36,4,5,10,1,7,2,0,1,0,0,40,0,0
23,2,1,9,0,4,0,0,1,0,0,25,0,0
29,2,1,9,4,9,0,0,0,0,0,40,0,0
44,2,5,10,1,0,2,0,1,0,2415,6,0,1
19,2,5,10,0,0,3,0,1,0,0,16,0,0
19,2,1,9,0,4,5,0,1,0,0,40,0,0
35,2,1,9,1,4,2,0,1,0,0,40,0,1
27,2,0,13,0,6,0,0,0,0,0,50,0,0
46,1,6,12,4,6,0,0,0,0,0,40,0,0
34,0,0,13,1,1,1,0,0,7688,0,45,0,1
34,2,1,9,0,4,0,0,1,0,0,35,0,0
44,2,5,10,1,10,1,0,0,0,0,40,0,0
45,2,5,10,2,2,4,0,1,0,0,40,0,0
20,2,1,9,0,3,5,0,1,0,0,35,0,0
25,2,0,13,1,1,1,0,0,0,0,55,0,1
52,5,0,13,1,1,1,0,0,0,0,50,0,1
20,2,5,10,0,2,3,0,0,0,0,40,0,0
28,2,5,10,0,4,0,0,1,0,0,40,0,0
50,0,0,13,1,11,1,0,0,0,0,40,0,1
34,2,7,11,2,10,0,0,1,0,0,64,0,0
28,2,8,4,1,2,1,4,0,0,2179,40,6,0
41,2,3,14,1,1,1,0,0,0,1977,65,0,1
28,2,1,9,1,0,1,0,0,0,0,40,0,0
46,1,1,9,1,6,1,0,0,0,0,25,0,0
28,2,5,10,1,3,2,0,1,0,1887,40,0,1
32,2,5,10,1,1,1,0,0,0,0,50,0,0
41,4,5,10,2,4,0,1,1,0,0,24,0,0
24,2,1,9,0,2,4,1,1,0,0,40,0,0
33,2,5,10,2,1,4,0,1,0,0,40,0,0
46,2,9,16,1,1,1,0,0,15024,0,60,0,1
31,0,5,10,1,9,1,0,0,0,0,40,0,0
35,2,15,8,2,6,0,0,0,0,0,50,0,1
52,2,13,2,1,9,1,0,0,0,0,40,4,0
30,2,2,7,0,4,3,0,1,0,0,19,0,0
34,4,2,7,4,9,0,1,0,0,0,40,0,0
34,0,1,9,2,7,4,0,1,0,0,40,0,0
20,2,5,10,1,5,1,0,0,0,0,30,0,0
17,2,2,7,0,2,3,0,0,2176,0,18,0,0
32,0,0,13,1,1,2,0,1,0,0,40,0,1
29,2,1,9,2,8,0,0,0,0,0,40,0,0
33,2,12,6,0,6,4,0,1,0,0,35,0,0
25,2,1,9,1,7,1,0,0,0,0,60,0,0
36,3,3,14,0,3,0,0,0,0,1408,40,0,0
23,2,1,9,0,2,0,0,0,0,0,72,23,0
63,5,1,9,1,1,1,0,0,0,0,40,0,1
47,4,3,14,1,3,1,0,0,0,0,40,0,0
80,2,1,9,6,3,0,0,0,0,0,24,0,0
17,2,2,7,0,3,3,0,0,0,0,40,0,0
40,1,0,13,3,3,0,0,1,2174,0,40,0,0
30,2,6,12,1,4,2,0,1,0,0,25,0,1
27,2,5,10,0,6,3,2,0,0,1980,40,12,0
33,2,3,14,1,3,1,0,0,0,0,50,0,1
34,4,1,9,0,8,0,1,0,594,0,60,0,0
34,4,5,10,0,11,0,0,1,0,0,40,0,0
23,2,5,10,1,0,1,0,0,0,0,40,0,0
42,4,5,10,1,0,2,0,1,0,0,40,0,0
29,2,0,13,0,3,0,0,0,0,0,40,0,0
45,2,1,9,2,0,0,0,1,0,0,28,0,0
24,3,1,9,0,12,3,0,0,0,0,40,0,0
44,2,5,10,1,3,1,0,0,0,0,40,0,1
27,2,4,5,0,6,5,0,0,0,0,40,4,0
20,2,5,10,0,5,0,0,0,0,0,35,0,0
44,2,1,9,6,1,4,1,1,0,0,40,0,0
51,2,1,9,1,6,1,3,0,0,0,40,0,0
20,2,1,9,1,9,1,0,0,0,0,40,0,0
17,2,2,7,0,3,3,0,1,0,0,5,0,0
19,2,1,9,0,9,3,1,1,0,0,40,0,0
45,5,5,10,1,6,1,0,0,0,0,55,0,1
60,2,1,9,1,6,1,0,0,0,0,40,0,1
42,2,6,12,1,1,1,1,0,0,0,40,0,1
44,1,1,9,1,5,2,0,1,0,0,40,0,1
40,2,7,11,1,9,1,2,0,0,0,40,0,1
30,2,1,9,1,1,2,0,1,0,0,40,0,0
38,2,5,10,1,7,1,1,0,0,0,50,0,0
23,2,1,9,1,7,1,0,0,0,0,60,0,0
32,2,5,10,1,3,1,0,0,0,0,40,0,0
44,2,6,12,0,8,3,0,0,0,0,40,0,0
54,4,1,9,1,7,1,1,0,0,0,40,0,0
32,2,0,13,1,3,1,0,0,0,0,50,0,0
50,2,13,2,3,6,4,0,0,0,0,40,0,0
24,2,0,13,0,10,0,0,1,0,0,20,0,0
37,2,1,9,1,0,2,0,1,0,0,60,0,0
52,2,1,9,2,7,4,0,0,0,0,40,0,0
38,2,5,10,1,7,1,0,0,0,0,40,0,0
49,2,3,14,1,1,1,0,0,0,1977,45,0,1
30,2,0,13,1,10,2,0,1,0,0,16,0,1
60,2,5,10,0,3,4,0,0,0,0,40,0,1
22,2,5,10,0,3,3,0,0,0,0,40,0,0
35,2,1,9,0,6,0,0,0,0,0,40,0,0
30,2,1,9,0,7,0,0,0,0,0,60,0,0
67,2,7,11,2,4,0,0,1,0,0,24,0,0
46,2,0,13,0,6,0,0,1,0,0,40,0,0
17,2,4,5,0,4,0,0,0,0,0,6,0,0
22,2,5,10,0,2,3,0,0,0,0,30,0,0
27,2,12,6,0,4,0,0,0,0,0,40,0,0
23,2,1,9,0,4,4,0,1,0,0,35,0,0
33,2,6,12,1,6,1,0,0,0,0,45,22,0
43,1,5,10,1,6,1,0,0,0,0,20,0,0
28,0,0,13,0,3,0,0,0,0,0,20,0,0
41,2,1,9,3,6,4,0,1,0,0,40,0,0
52,2,15,8,0,3,5,1,0,594,0,40,0,0
25,2,5,10,3,0,3,1,1,0,0,20,0,0
63,2,13,2,1,3,1,0,0,0,0,35,0,0
59,4,1,9,1,7,1,0,0,0,0,45,0,0
45,4,0,13,2,3,4,0,1,0,0,40,0,0
38,2,0,13,1,5,1,0,0,15024,0,60,0,1
40,2,1,9,0,4,0,0,1,0,0,35,0,0
46,3,1,9,2,0,0,0,0,0,0,40,0,0
35,2,6,12,0,1,0,0,1,0,0,60,0,0
